Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675372923.2956076,0,76923,0,GPS1_frame,62.32020000000011,22.677700000000186,11.4,1.2,586942.7003200001,6910978.922410509,21.0:22.0,34,V
1675372924.3270032,0,76924,0,GPS1_frame,62.32020000000011,22.677700000000186,11.4,1.4,586942.7003200001,6910978.922410509,21.0:22.0,34,V
1675372925.272157,0,76925,0,GPS1_frame,62.32020000000011,22.677700000000186,11.4,1.6,586942.7003200001,6910978.922410509,21.0:22.0,34,V
1675372926.326532,0,76926,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372927.2771754,0,76927,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372928.327121,0,76928,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372929.2549062,0,76929,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372930.2918382,0,76930,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372931.2566464,0,76931,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372932.2546988,0,76932,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372933.2632115,0,76933,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372934.2546456,0,76934,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372935.2550993,0,76935,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372936.259125,0,76936,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372937.3257523,0,76937,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372938.2539926,0,76938,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372939.256644,0,76939,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372940.2906215,0,76940,0,GPS1_frame,62.320300000000316,22.677700000000186,11.4,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372941.2532914,0,76941,0,GPS1_frame,62.320300000000316,22.677700000000186,11.3,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372942.255405,0,76942,0,GPS1_frame,62.320300000000316,22.677700000000186,11.3,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372943.2558625,0,76943,0,GPS1_frame,62.320300000000316,22.677700000000186,11.3,1.4,586942.4114274292,6910990.060315189,21.0:22.0,34,V
1675372944.2551126,0,76944,0,GPS1_frame,62.32039999999961,22.677700000000186,11.3,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372945.2697794,0,76945,0,GPS1_frame,62.32039999999961,22.677700000000186,11.3,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372946.278838,0,76946,0,GPS1_frame,62.32039999999961,22.677700000000186,11.3,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372947.25705,0,76947,0,GPS1_frame,62.32039999999961,22.677700000000186,11.3,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372948.2526271,0,76948,0,GPS1_frame,62.32039999999961,22.677700000000186,11.3,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372949.2520933,0,76949,0,GPS1_frame,62.32039999999961,22.677700000000186,11.3,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372950.2977862,0,76950,0,GPS1_frame,62.32039999999961,22.677700000000186,11.3,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372951.2675183,0,76951,0,GPS1_frame,62.32039999999961,22.677700000000186,11.3,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372952.270306,0,76952,0,GPS1_frame,62.32039999999961,22.677700000000186,11.3,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372953.2514436,0,76953,0,GPS1_frame,62.32039999999961,22.677700000000186,11.3,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372954.2510548,0,76954,0,GPS1_frame,62.32039999999961,22.677700000000186,11.3,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372955.2531068,0,76955,0,GPS1_frame,62.32039999999961,22.677700000000186,11.2,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372956.2783487,0,76956,0,GPS1_frame,62.32039999999961,22.677700000000186,11.2,1.4,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372957.2534597,0,76957,0,GPS1_frame,62.32039999999961,22.677700000000186,11.2,1.2,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372958.2535994,0,76958,0,GPS1_frame,62.32039999999961,22.677700000000186,11.2,1.2,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372959.2547584,0,76959,0,GPS1_frame,62.32039999999961,22.677700000000186,11.2,1.2,586942.1225345928,6911001.198219914,21.0:22.0,34,V
1675372960.2495923,0,76960,0,GPS1_frame,62.32039999999961,22.677700000000186,11.2,1.3,586942.1225345928,6911001.198219914,21.0:22.0,34,V
